settlement_date,settlement_code,profiled_spm_consumption_sp01,profiled_spm_consumption_sp02,profiled_spm_consumption_sp03,profiled_spm_consumption_sp04,profiled_spm_consumption_sp05,profiled_spm_consumption_sp06,profiled_spm_consumption_sp07,profiled_spm_consumption_sp08,profiled_spm_consumption_sp09,profiled_spm_consumption_sp10,profiled_spm_consumption_sp11,profiled_spm_consumption_sp12,profiled_spm_consumption_sp13,profiled_spm_consumption_sp14,profiled_spm_consumption_sp15,profiled_spm_consumption_sp16,profiled_spm_consumption_sp17,profiled_spm_consumption_sp18,profiled_spm_consumption_sp19,profiled_spm_consumption_sp20,profiled_spm_consumption_sp21,profiled_spm_consumption_sp22,profiled_spm_consumption_sp23,profiled_spm_consumption_sp24,profiled_spm_consumption_sp25,profiled_spm_consumption_sp26,profiled_spm_consumption_sp27,profiled_spm_consumption_sp28,profiled_spm_consumption_sp29,profiled_spm_consumption_sp30,profiled_spm_consumption_sp31,profiled_spm_consumption_sp32,profiled_spm_consumption_sp33,profiled_spm_consumption_sp34,profiled_spm_consumption_sp35,profiled_spm_consumption_sp36,profiled_spm_consumption_sp37,profiled_spm_consumption_sp38,profiled_spm_consumption_sp39,profiled_spm_consumption_sp40
08/01/2023 00:00,SF,23.495,24.405,22.799,22.351,21.444,20.735,20.211,19.636,19.368,18.868,19.043,19.493,20.272,21.622,21.953,22.829,25.497,27.922,30.404,32.229,33.02,33.015,34.155,35.398,36.484,36.894,36.61,36.237,36.02,35.601,36.216,38.205,40.998,44.983,47.202,47.81,46.714,44.34,41.986,39.471
08/01/2023 00:00,R1,23.414,23.958,22.406,21.941,21.057,20.315,19.8,19.23,18.945,18.479,18.677,19.149,19.93,21.272,21.702,22.88,25.579,27.975,30.463,32.286,33.087,33.075,34.222,35.479,36.571,36.932,36.659,36.275,36.049,35.639,36.251,38.222,41.045,45.044,47.248,47.867,46.763,44.385,42.015,39.495
09/01/2023 00:00,SF,22.803,23.752,22.863,22.347,21.729,21.147,20.643,20.241,19.743,19.721,20.175,20.985,23.229,26.367,28.458,28.907,30.576,31.251,31.598,31.498,31.635,31.326,31.44,31.898,32.671,32.886,32.906,32.192,31.528,31.046,31.486,33.099,36.65,41.406,44.944,46.44,46.569,44.689,42.472,40.51
09/01/2023 00:00,R1,22.722,23.339,22.506,21.982,21.37,20.745,20.254,19.835,19.323,19.332,19.807,20.608,22.82,25.941,28.109,28.898,30.586,31.273,31.631,31.545,31.687,31.388,31.51,31.938,32.722,32.913,32.922,32.213,31.554,31.061,31.492,33.096,36.651,41.413,44.933,46.437,46.577,44.7,42.449,40.504
10/01/2023 00:00,SF,22.874,23.744,22.914,22.454,21.865,21.396,20.906,20.235,19.741,19.73,20.071,20.748,23.02,26.161,28.445,28.588,30.21,30.753,31.015,30.84,30.497,30.057,30.241,30.557,31.058,31.284,31.358,30.778,30.127,30.014,30.64,32.236,35.552,40.42,44.421,45.112,45.558,43.985,42.213,40.16
10/01/2023 00:00,R1,22.863,23.393,22.618,22.156,21.586,21.077,20.576,19.895,19.413,19.415,19.772,20.43,22.693,25.815,28.188,28.643,30.279,30.818,31.093,30.94,30.595,30.15,30.326,30.629,31.123,31.341,31.422,30.831,30.192,30.06,30.689,32.274,35.601,40.484,44.474,45.188,45.632,44.052,42.241,40.211
11/01/2023 00:00,SF,22.574,23.449,22.678,22.004,21.492,20.935,20.368,20.05,19.669,19.528,19.978,20.688,23.076,26.324,28.309,28.526,30.274,30.538,31.04,30.773,30.746,30.362,30.193,30.143,31.206,31.511,31.63,30.658,30.429,30.103,30.573,32.168,35.456,40.139,43.514,44.815,45.659,43.964,41.623,39.662
11/01/2023 00:00,R1,22.497,23.057,22.318,21.662,21.154,20.572,20,19.664,19.291,19.162,19.63,20.317,22.69,25.934,27.983,28.545,30.285,30.545,31.085,30.82,30.807,30.412,30.234,30.175,31.246,31.522,31.649,30.669,30.444,30.085,30.546,32.137,35.454,40.125,43.481,44.807,45.647,43.947,41.56,39.631
12/01/2023 00:00,SF,21.675,22.371,21.172,20.749,20.021,19.41,18.699,18.102,17.806,17.856,18.284,19.182,21.625,24.589,26.964,27.146,28.999,29.607,29.829,29.684,29.675,28.764,28.856,28.959,29.921,29.944,30.289,29.37,28.92,28.569,29.283,31.3,34.67,39.3,43.094,44.123,44.402,42.72,40.453,38.578
12/01/2023 00:00,R1,21.477,21.917,20.777,20.36,19.63,18.994,18.307,17.711,17.42,17.485,17.928,18.804,21.207,24.183,26.659,27.124,28.994,29.57,29.822,29.689,29.689,28.772,28.855,28.954,29.912,29.915,30.277,29.343,28.913,28.547,29.234,31.245,34.658,39.283,43.054,44.094,44.373,42.691,40.391,38.535
